,_id,OBJECTID,DATE,Allegany,Anne_Arundel,Baltimore,Baltimore_City,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince_Georges,Queen_Annes,Somerset,St_Marys,Talbot,Washington,Wicomico,Worcester,Unknown
915,643bbabc5337de167702e1bb,916,10/05/2022 06:00:00 AM,376.0,1164.0,2586.0,1835.0,153.0,83.0,428.0,270.0,380.0,111.0,549.0,118.0,613.0,396.0,70.0,2130.0,2216.0,121.0,76.0,231.0,97.0,598.0,345.0,172.0,28
916,643bbabc5337de167702e1bc,917,10/06/2022 06:00:00 AM,376.0,1164.0,2586.0,1836.0,153.0,83.0,429.0,270.0,380.0,111.0,549.0,118.0,614.0,396.0,70.0,2130.0,2216.0,122.0,76.0,231.0,97.0,598.0,345.0,172.0,25
917,643bbabc5337de167702e1bd,918,10/07/2022 06:00:00 AM,376.0,1166.0,2588.0,1836.0,153.0,83.0,429.0,270.0,380.0,111.0,549.0,118.0,614.0,396.0,70.0,2130.0,2216.0,122.0,76.0,231.0,97.0,598.0,345.0,172.0,25
918,643bbabc5337de167702e1be,919,10/08/2022 06:00:00 AM,376.0,1167.0,2588.0,1836.0,153.0,83.0,429.0,270.0,380.0,111.0,549.0,118.0,614.0,397.0,70.0,2132.0,2217.0,122.0,76.0,231.0,97.0,598.0,345.0,172.0,24
919,643bbabc5337de167702e1bf,920,10/09/2022 06:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,0
920,643bbabc5337de167702e1c0,921,10/10/2022 06:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,0
921,643bbabc5337de167702e1c1,922,10/11/2022 06:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,0
922,643bbabc5337de167702e1c2,923,10/12/2022 06:00:00 AM,376.0,1168.0,2592.0,1838.0,153.0,83.0,431.0,270.0,380.0,111.0,549.0,118.0,615.0,397.0,70.0,2135.0,2219.0,123.0,76.0,232.0,97.0,599.0,345.0,172.0,34
923,643bbabc5337de167702e1c3,924,10/13/2022 06:00:00 AM,376.0,1171.0,2594.0,1838.0,153.0,83.0,432.0,270.0,380.0,111.0,549.0,118.0,617.0,398.0,70.0,2137.0,2219.0,123.0,76.0,232.0,98.0,600.0,345.0,172.0,30
924,643bbabc5337de167702e1c4,925,10/14/2022 06:00:00 AM,376.0,1171.0,2595.0,1840.0,153.0,83.0,432.0,270.0,380.0,111.0,549.0,118.0,617.0,398.0,70.0,2139.0,2219.0,123.0,76.0,232.0,98.0,600.0,345.0,172.0,30
925,643bbabc5337de167702e1c5,926,10/15/2022 06:00:00 AM,376.0,1173.0,2595.0,1841.0,153.0,83.0,432.0,270.0,380.0,111.0,549.0,118.0,618.0,399.0,70.0,2139.0,2219.0,123.0,76.0,232.0,99.0,600.0,345.0,172.0,33
926,643bbabc5337de167702e1c6,927,10/16/2022 06:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,0
927,643bbabc5337de167702e1c7,928,10/17/2022 06:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,0
928,643bbabc5337de167702e1c8,929,10/18/2022 06:00:00 AM,376.0,1173.0,2596.0,1843.0,153.0,83.0,432.0,270.0,381.0,111.0,550.0,118.0,620.0,400.0,70.0,2141.0,2220.0,123.0,76.0,232.0,99.0,601.0,345.0,172.0,36
929,643bbabc5337de167702e1c9,930,10/19/2022 06:00:00 AM,376.0,1173.0,2596.0,1844.0,154.0,84.0,433.0,270.0,381.0,111.0,550.0,118.0,620.0,400.0,70.0,2141.0,2221.0,123.0,76.0,233.0,100.0,601.0,345.0,172.0,32
930,643bbabc5337de167702e1ca,931,10/20/2022 06:00:00 AM,376.0,1173.0,2596.0,1845.0,154.0,84.0,433.0,270.0,381.0,111.0,550.0,118.0,620.0,400.0,70.0,2142.0,2222.0,123.0,76.0,233.0,100.0,601.0,345.0,172.0,31
931,643bbabc5337de167702e1cb,932,10/21/2022 06:00:00 AM,376.0,1173.0,2598.0,1846.0,154.0,84.0,434.0,270.0,381.0,111.0,550.0,118.0,620.0,400.0,70.0,2142.0,2223.0,123.0,76.0,233.0,100.0,601.0,345.0,172.0,32
932,643bbabc5337de167702e1cc,933,10/22/2022 06:00:00 AM,376.0,1173.0,2600.0,1846.0,155.0,84.0,434.0,270.0,381.0,111.0,550.0,118.0,620.0,400.0,70.0,2142.0,2224.0,123.0,76.0,233.0,100.0,601.0,345.0,172.0,35
933,643bbabc5337de167702e1cd,934,10/23/2022 06:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,0
934,643bbabc5337de167702e1ce,935,10/24/2022 06:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,0
935,643bbabc5337de167702e1cf,936,10/25/2022 06:00:00 AM,376.0,1174.0,2601.0,1847.0,155.0,84.0,434.0,270.0,381.0,112.0,550.0,118.0,620.0,402.0,70.0,2142.0,2224.0,124.0,76.0,233.0,100.0,601.0,345.0,172.0,45
936,643bbabc5337de167702e1d0,937,10/26/2022 06:00:00 AM,376.0,1177.0,2601.0,1848.0,155.0,84.0,434.0,270.0,381.0,112.0,552.0,118.0,622.0,402.0,70.0,2144.0,2224.0,124.0,76.0,233.0,101.0,601.0,345.0,173.0,34
937,643bbabc5337de167702e1d1,938,10/27/2022 06:00:00 AM,376.0,1178.0,2601.0,1847.0,155.0,84.0,434.0,270.0,382.0,112.0,552.0,118.0,624.0,402.0,70.0,2147.0,2226.0,124.0,76.0,233.0,101.0,601.0,345.0,173.0,34
938,643bbabc5337de167702e1d2,939,10/28/2022 06:00:00 AM,376.0,1179.0,2603.0,1848.0,155.0,85.0,434.0,270.0,382.0,112.0,553.0,118.0,625.0,402.0,70.0,2150.0,2226.0,124.0,76.0,233.0,101.0,601.0,345.0,173.0,35
939,643bbabc5337de167702e1d3,940,10/29/2022 06:00:00 AM,376.0,1180.0,2605.0,1848.0,155.0,85.0,434.0,270.0,382.0,112.0,553.0,118.0,625.0,403.0,70.0,2151.0,2227.0,124.0,76.0,234.0,101.0,602.0,345.0,173.0,35
940,643bbabc5337de167702e1d4,941,10/30/2022 06:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,0
941,643bbabc5337de167702e1d5,942,10/31/2022 06:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,0
942,643bbabc5337de167702e1d6,943,11/01/2022 06:00:00 AM,376.0,1182.0,2606.0,1851.0,155.0,85.0,434.0,270.0,382.0,112.0,553.0,118.0,626.0,404.0,70.0,2154.0,2228.0,125.0,76.0,234.0,101.0,602.0,345.0,173.0,31
